symbol,message,sentiment
MMM,$MMM Heading into earnings looking like it wants to break out of this multi month wedge.,1
MMM,$GE $UPS $JBLU $MMM Cheap /Risky Earnings Plays $SPY,1
MMM,$MMM triangle pattern,1
MMM,"$TSLA auuu poor bulls will get no ""V"" recovery tomorrow 😆🍏💦📉📉⚰ PUTS were the ticket! Bag of money just sunbathing until tomorrow 😭 $TAL $SPY $BABA $MMM FUTURES DUMPING 🩸🩸🩸",0
MMM,"$TSLA lol yep as I stated.. keep talking Elon, bring her down.. PUTS printing tomorrow like... 😆💦🍏👀 $SPY $MMM $NIO $AAPL",0
MMM,$TSLA PUTS still look good from here... 😁💦💯🤷‍♂️ CC will bring it down and Intraday tomorrow.. $MMM $SPY $UPS $QQQ,0
MMM,"$TSLA CALLS paying out... ""ummmmmmmmmmm NO"" 🤣😭 $SPY $FFIV $MMM $NIO 📉🩸🩸🩸",0
MMM,$TSLA 🍉💦🌽 LET'S GO PUTS!!! Stand tall and deliver 😆💰 $FIVE $UPS $MMM $SPY,0
MMM,$MMM hmmmm PUTS 🤫🤤💦 $TSLA $UPS $FFIV $SPY 🥚🥚👀😁,0
